Time,V2_rms,V3_rms,V6_rms,V8_rms,V10_rms,V13_rms
4.17915,1.049021028,1.01447259,1.079563781,1.095844408,1.040451053,1.058077109
4.1958,1.049011655,1.014461598,1.079553325,1.095835013,1.040440734,1.058066512
4.21245,1.049002207,1.014450591,1.079542816,1.09582554,1.040430372,1.058055866
4.2291,1.048992675,1.01443957,1.079532227,1.095815974,1.040419946,1.058045141
4.24575,1.048983051,1.014428531,1.079521548,1.095806294,1.040409431,1.058034327
4.2624,1.048973324,1.014417465,1.079510747,1.095796481,1.040398802,1.05802339
4.27905,1.048963481,1.014406359,1.079499812,1.095786517,1.040388032,1.058012318
4.2957,1.048953511,1.014395198,1.079488711,1.095776383,1.040377097,1.058001078
4.31235,1.048943402,1.014383964,1.079477437,1.095766065,1.040365975,1.05798966
4.329,1.048933142,1.014372637,1.079465963,1.09575555,1.040354645,1.057978037
4.34565,1.048922724,1.0143612,1.079454286,1.095744829,1.040343092,1.057966206
4.3623,1.04891214,1.014349633,1.079442386,1.095733894,1.040331305,1.057954145
4.37895,1.048901386,1.014337922,1.079430267,1.095722745,1.040319276,1.05794186
4.3956,1.048890458,1.014326051,1.079417919,1.095711383,1.040307003,1.057929338
4.41225,1.048879357,1.01431401,1.079405355,1.095699813,1.04029449,1.057916593
4.4289,1.048868087,1.01430179,1.079392569,1.095688042,1.040281743,1.05790362
4.44555,1.048856651,1.014289386,1.079379585,1.095676084,1.040268774,1.057890442
4.4622,1.048845059,1.014276798,1.079366403,1.09566395,1.040255597,1.05787706
4.47885,1.048833319,1.014264028,1.07935305,1.095651657,1.04024223,1.057863503
4.4955,1.048821444,1.014251081,1.079339535,1.095639223,1.040228694,1.057849778
4.51215,1.048809445,1.014237966,1.079325888,1.095626665,1.040215011,1.057835917
4.5288,1.048797338,1.014224695,1.079312117,1.095614002,1.040201202,1.057821929
4.54545,1.048785135,1.014211282,1.079298255,1.095601252,1.040187292,1.057807849
4.5621,1.048772853,1.014197742,1.079284312,1.095588434,1.040173302,1.057793684
4.57875,1.048760505,1.014184092,1.079270318,1.095575564,1.040159254,1.057779468
4.5954,1.048748107,1.014170351,1.07925628,1.095562656,1.040145169,1.057765208
4.61205,1.048735671,1.014156537,1.079242227,1.095549726,1.040131064,1.057750933
4.6287,1.04872321,1.014142667,1.079228163,1.095536785,1.040116954,1.057736646
4.64535,1.048710736,1.01412876,1.07921411,1.095523841,1.040102854,1.057722373
4.662,1.048698258,1.014114833,1.07920007,1.095510905,1.040088774,1.057708112
4.67865,1.048685785,1.014100899,1.07918606,1.09549798,1.040074722,1.057693883
4.6953,1.048673326,1.014086974,1.079172077,1.095485072,1.040060704,1.057679681
4.71195,1.048660884,1.01407307,1.079158134,1.095472183,1.040046723,1.057665522
4.7286,1.048648466,1.014059196,1.079144224,1.095459313,1.04003278,1.057651395
4.74525,1.048636074,1.014045361,1.079130357,1.095446463,1.040018875,1.057637313
4.7619,1.048623711,1.014031571,1.07911652,1.09543363,1.040005006,1.057623262
4.77855,1.048611377,1.014017831,1.079102725,1.095420814,1.03999117,1.057609251
4.7952,1.048599073,1.014004144,1.079088955,1.095408012,1.039977362,1.057595267
4.81185,1.048586799,1.01399051,1.079075219,1.095395221,1.039963579,1.057581317
4.8285,1.048574555,1.013976931,1.079061502,1.095382439,1.039949816,1.057567385
4.84515,1.048562339,1.013963405,1.079047812,1.095369664,1.03993607,1.05755348
4.8618,1.04855015,1.01394993,1.079034134,1.095356896,1.039922337,1.057539586
4.87845,1.048537989,1.013936504,1.079020478,1.095344132,1.039908614,1.057525714
4.8951,1.048525854,1.013923124,1.079006831,1.095331373,1.039894901,1.057511849
4.91175,1.048513746,1.013909788,1.078993204,1.09531862,1.039881196,1.057498004
4.9284,1.048501664,1.013896493,1.078979584,1.095305874,1.0398675,1.057484166
4.94505,1.048489611,1.013883237,1.078965986,1.095293139,1.039853816,1.057470349
4.9617,1.048477587,1.013870018,1.0789524,1.095280417,1.039840146,1.057456544
4.97835,1.048465595,1.013856835,1.078938842,1.095267714,1.039826494,1.057442767
4.995,1.048453638,1.013843688,1.078925304,1.095255032,1.039812865,1.057429008
5.01165,1.048441718,1.013830578,1.078911803,1.095242379,1.039799266,1.057415288
5.0283,1.04842984,1.013817505,1.078898333,1.095229759,1.039785702,1.057401599
5.04495,1.048418007,1.013804473,1.078884912,1.095217179,1.03977218,1.05738796
5.0616,1.048406224,1.013791483,1.078871535,1.095204644,1.039758708,1.057374365
5.07825,1.048394496,1.01377854,1.078858221,1.095192161,1.039745294,1.057360835
5.0949,1.048382828,1.013765648,1.078844965,1.095179735,1.039731944,1.057347363
5.11155,1.048371224,1.013752811,1.078831786,1.095167371,1.039718665,1.057333969
