Time,W2,W3,W6,W8
14.23575,376.9789341,376.9792297,376.9797204,376.9789986
14.2524,376.9789495,376.9792466,376.9797373,376.9790216
14.26905,376.9789645,376.9792633,376.9797538,376.9790442
14.2857,376.9789792,376.9792795,376.9797699,376.9790665
14.30235,376.9789937,376.9792955,376.9797857,376.9790885
14.319,376.9790078,376.9793111,376.9798012,376.9791102
14.33565,376.9790215,376.9793264,376.9798163,376.9791315
14.3523,376.979035,376.9793414,376.9798311,376.9791525
14.36895,376.9790482,376.9793561,376.9798455,376.9791733
14.3856,376.979061,376.9793704,376.9798596,376.9791937
14.40225,376.9790736,376.9793844,376.9798733,376.9792138
14.4189,376.9790858,376.9793981,376.9798867,376.9792335
14.43555,376.9790977,376.9794115,376.9798998,376.979253
14.4522,376.9791094,376.9794245,376.9799125,376.9792721
14.46885,376.9791207,376.9794373,376.9799249,376.979291
14.4855,376.9791317,376.9794497,376.9799369,376.9793095
14.50215,376.9791424,376.9794618,376.9799486,376.9793277
14.5188,376.9791528,376.9794736,376.97996,376.9793456
14.53545,376.9791629,376.9794851,376.979971,376.9793632
14.5521,376.9791728,376.9794962,376.9799817,376.9793805
14.56875,376.9791823,376.9795071,376.9799921,376.9793975
14.5854,376.9791915,376.9795176,376.9800022,376.9794141
14.60205,376.9792004,376.9795279,376.9800119,376.9794305
14.6187,376.979209,376.9795378,376.9800213,376.9794466
14.63535,376.9792174,376.9795474,376.9800303,376.9794623
14.652,376.9792254,376.9795567,376.9800391,376.9794778
14.66865,376.9792332,376.9795657,376.9800475,376.979493
14.6853,376.9792406,376.9795744,376.9800556,376.9795078
14.70195,376.9792478,376.9795828,376.9800634,376.9795224
14.7186,376.9792547,376.9795909,376.9800708,376.9795366
14.73525,376.9792613,376.9795987,376.9800779,376.9795506
14.7519,376.9792676,376.9796062,376.9800847,376.9795642
14.76855,376.9792736,376.9796134,376.9800912,376.9795776
14.7852,376.9792794,376.9796204,376.9800974,376.9795907
14.80185,376.9792848,376.979627,376.9801033,376.9796035
14.8185,376.97929,376.9796333,376.9801089,376.979616
14.83515,376.9792949,376.9796393,376.9801141,376.9796282
14.8518,376.9792996,376.9796451,376.980119,376.9796401
14.86845,376.9793039,376.9796505,376.9801237,376.9796517
14.8851,376.979308,376.9796557,376.980128,376.979663
14.90175,376.9793118,376.9796606,376.980132,376.9796741
14.9184,376.9793154,376.9796652,376.9801357,376.9796848
14.93505,376.9793186,376.9796695,376.9801391,376.9796953
14.9517,376.9793216,376.9796735,376.9801422,376.9797055
14.96835,376.9793244,376.9796773,376.980145,376.9797154
14.985,376.9793268,376.9796808,376.9801476,376.979725
15.00165,376.979329,376.9796839,376.9801498,376.9797344
15.0183,376.979331,376.9796869,376.9801517,376.9797434
15.03495,376.9793327,376.9796895,376.9801533,376.9797522
15.0516,376.9793341,376.9796919,376.9801546,376.9797607
15.06825,376.9793353,376.979694,376.9801557,376.979769
15.0849,376.9793362,376.9796958,376.9801564,376.979777
15.10155,376.9793368,376.9796974,376.9801569,376.9797847
15.1182,376.9793372,376.9796987,376.9801571,376.9797921
15.13485,376.9793374,376.9796997,376.980157,376.9797992
15.1515,376.9793373,376.9797005,376.9801566,376.9798061
15.16815,376.9793369,376.979701,376.9801559,376.9798128
15.1848,376.9793363,376.9797012,376.980155,376.9798191
15.20145,376.9793355,376.9797012,376.9801538,376.9798252
15.2181,376.9793344,376.9797009,376.9801523,376.979831
15.23475,376.979333,376.9797004,376.9801505,376.9798366
15.2514,376.9793315,376.9796996,376.9801485,376.9798419
15.26805,376.9793297,376.9796986,376.9801461,376.9798469
15.2847,376.9793276,376.9796973,376.9801435,376.9798517
15.30135,376.9793253,376.9796957,376.9801407,376.9798563
15.318,376.9793228,376.9796939,376.9801376,376.9798605
15.33465,376.97932,376.9796919,376.9801342,376.9798646
15.3513,376.979317,376.9796896,376.9801305,376.9798683
15.36795,376.9793138,376.9796871,376.9801266,376.9798719
15.3846,376.9793104,376.9796843,376.9801224,376.9798751
15.40125,376.9793067,376.9796813,376.980118,376.9798781
15.4179,376.9793028,376.9796781,376.9801133,376.9798809
15.43455,376.9792987,376.9796746,376.9801083,376.9798834
15.4512,376.9792943,376.9796709,376.9801031,376.9798857
15.46785,376.9792898,376.9796669,376.9800977,376.9798878
15.4845,376.979285,376.9796627,376.980092,376.9798895
15.50115,376.97928,376.9796583,376.980086,376.9798911
15.5178,376.9792747,376.9796536,376.9800798,376.9798924
15.53445,376.9792693,376.9796487,376.9800734,376.9798935
15.5511,376.9792637,376.9796436,376.9800667,376.9798943
15.56775,376.9792578,376.9796383,376.9800597,376.9798949
15.5844,376.9792517,376.9796327,376.9800526,376.9798953
15.60105,376.9792454,376.979627,376.9800452,376.9798954
15.6177,376.979239,376.979621,376.9800375,376.9798954
15.63435,376.9792323,376.9796147,376.9800296,376.979895
15.651,376.9792254,376.9796083,376.9800215,376.9798945
15.66765,376.9792183,376.9796017,376.9800132,376.9798937
15.6843,376.979211,376.9795948,376.9800046,376.9798927
15.70095,376.9792035,376.9795877,376.9799958,376.9798915
15.7176,376.9791958,376.9795804,376.9799867,376.97989
15.73425,376.9791879,376.9795729,376.9799775,376.9798883
15.7509,376.9791798,376.9795652,376.979968,376.9798864
15.76755,376.9791716,376.9795573,376.9799583,376.9798843
15.7842,376.9791631,376.9795492,376.9799483,376.979882
15.80085,376.9791544,376.9795409,376.9799382,376.9798795
15.8175,376.9791456,376.9795324,376.9799278,376.9798767
15.83415,376.9791366,376.9795236,376.9799172,376.9798737
15.8508,376.9791274,376.9795147,376.9799064,376.9798705
15.86745,376.979118,376.9795056,376.9798954,376.9798671
15.8841,376.9791084,376.9794963,376.9798842,376.9798635
15.90075,376.9790987,376.9794868,376.9798728,376.9798597
15.9174,376.9790887,376.9794771,376.9798611,376.9798557
15.93405,376.9790786,376.9794672,376.9798493,376.9798515
15.9507,376.9790683,376.9794572,376.9798372,376.979847
15.96735,376.9790579,376.9794469,376.979825,376.9798424
15.984,376.9790473,376.9794364,376.9798125,376.9798376
16.00065,376.9790365,376.9794258,376.9797999,376.9798325
16.0173,376.9790255,376.979415,376.979787,376.9798273
16.03395,376.9790144,376.979404,376.979774,376.9798219
16.0506,376.9790031,376.9793928,376.9797608,376.9798162
16.06725,376.9789916,376.9793815,376.9797473,376.9798104
16.0839,376.97898,376.97937,376.9797337,376.9798044
16.10055,376.9789682,376.9793583,376.9797199,376.9797982
16.1172,376.9789562,376.9793464,376.9797059,376.9797918
16.13385,376.9789441,376.9793344,376.9796917,376.9797852
16.1505,376.9789319,376.9793221,376.9796773,376.9797784
16.16715,376.9789195,376.9793098,376.9796628,376.9797715
16.1838,376.9789069,376.9792972,376.9796481,376.9797643
16.20045,376.9788942,376.9792845,376.9796332,376.979757
16.2171,376.9788813,376.9792716,376.9796181,376.9797495
16.23375,376.9788683,376.9792586,376.9796028,376.9797418
16.2504,376.9788552,376.9792454,376.9795874,376.9797339
16.26705,376.9788418,376.979232,376.9795718,376.9797259
16.2837,376.9788284,376.9792185,376.979556,376.9797176
16.30035,376.9788148,376.9792048,376.97954,376.9797092
16.317,376.9788011,376.979191,376.9795239,376.9797006
16.33365,376.9787872,376.979177,376.9795076,376.9796919
16.3503,376.9787732,376.9791629,376.9794912,376.979683
16.36695,376.978759,376.9791486,376.9794746,376.9796739
16.3836,376.9787448,376.9791342,376.9794578,376.9796646
16.40025,376.9787303,376.9791196,376.9794408,376.9796552
16.4169,376.9787158,376.9791049,376.9794238,376.9796456
16.43355,376.9787011,376.97909,376.9794065,376.9796358
16.4502,376.9786863,376.979075,376.9793891,376.9796259
16.46685,376.9786714,376.9790599,376.9793715,376.9796158
16.4835,376.9786563,376.9790446,376.9793538,376.9796055
16.50015,376.9786411,376.9790291,376.979336,376.9795951
16.5168,376.9786258,376.9790136,376.979318,376.9795845
16.53345,376.9786104,376.9789979,376.9792998,376.9795738
16.5501,376.9785949,376.978982,376.9792815,376.9795629
16.56675,376.9785792,376.9789661,376.979263,376.9795519
16.5834,376.9785634,376.97895,376.9792445,376.9795407
16.60005,376.9785475,376.9789338,376.9792257,376.9795293
16.6167,376.9785315,376.9789174,376.9792069,376.9795178
16.63335,376.9785154,376.9789009,376.9791879,376.9795062
16.65,376.9784991,376.9788843,376.9791687,376.9794944
16.66665,376.9784828,376.9788676,376.9791494,376.9794824
16.6833,376.9784663,376.9788507,376.97913,376.9794703
16.69995,376.9784498,376.9788338,376.9791105,376.9794581
16.7166,376.9784331,376.9788167,376.9790908,376.9794457
16.73325,376.9784163,376.9787995,376.979071,376.9794332
16.7499,376.9783994,376.9787821,376.9790511,376.9794205
16.76655,376.9783825,376.9787647,376.979031,376.9794077
16.7832,376.9783654,376.9787471,376.9790108,376.9793947
16.79985,376.9783482,376.9787295,376.9789905,376.9793816
16.8165,376.9783309,376.9787117,376.9789701,376.9793684
16.83315,376.9783136,376.9786938,376.9789496,376.9793551
16.8498,376.9782961,376.9786758,376.9789289,376.9793416
16.86645,376.9782785,376.9786577,376.9789081,376.9793279
16.8831,376.9782609,376.9786395,376.9788872,376.9793142
16.89975,376.9782431,376.9786212,376.9788662,376.9793003
16.9164,376.9782253,376.9786028,376.9788451,376.9792863
16.93305,376.9782074,376.9785843,376.9788239,376.9792721
16.9497,376.9781894,376.9785657,376.9788025,376.9792579
16.96635,376.9781713,376.9785469,376.9787811,376.9792435
16.983,376.9781531,376.9785281,376.9787595,376.9792289
16.99965,376.9781349,376.9785092,376.9787379,376.9792143
