Time,V2_rms,V3_rms,V6_rms,V8_rms,V10_rms,V13_rms
2.51415,1.04186313,1.00700913,1.066025884,1.085983855,1.029238407,1.043212032
2.5308,1.041757212,1.006864807,1.06577235,1.085837755,1.029017931,1.04296112
2.54745,1.041642062,1.006701457,1.065515725,1.085683722,1.028786909,1.042705259
2.5641,1.04152679,1.006530545,1.065272379,1.085534026,1.028560617,1.042460855
2.58075,1.041420088,1.006363231,1.065057311,1.08540034,1.028353473,1.042243039
2.5974,1.041329922,1.006209987,1.064883561,1.085293243,1.028178457,1.042065072
2.61405,1.041263251,1.006080234,1.064761714,1.085221759,1.028046597,1.041937831
2.6307,1.041225789,1.005982035,1.064699552,1.085192972,1.027966566,1.041869442
2.64735,1.041221823,1.005921842,1.064701853,1.085211756,1.027944399,1.041865063
2.664,1.041254098,1.005904325,1.064770367,1.085280623,1.027983362,1.041926826
2.68065,1.041323777,1.005932279,1.064903936,1.085399724,1.028083975,1.042053944
2.6973,1.041430474,1.006006624,1.065098766,1.085566975,1.028244158,1.042242957
2.71395,1.041572355,1.006126476,1.065348801,1.0857783,1.028459517,1.042488092
2.7306,1.041746302,1.006289305,1.06564618,1.086027981,1.028723707,1.042781713
2.74725,1.041948121,1.006491133,1.065981738,1.08630905,1.029028867,1.043114805
2.7639,1.042172792,1.006726799,1.066345508,1.086613727,1.029366081,1.043477483
2.78055,1.042414722,1.006990231,1.066727207,1.086933844,1.02972584,1.043859482
2.7972,1.04266801,1.007274741,1.067116677,1.087261243,1.030098475,1.044250592
2.81385,1.042926699,1.007573312,1.067504254,1.087588115,1.030474543,1.044641051
2.8305,1.043185001,1.007878873,1.067881081,1.087907278,1.030845159,1.045021853
2.84715,1.043437497,1.008184543,1.068239332,1.088212385,1.031202258,1.045384997
2.8638,1.0436793,1.008483848,1.068572383,1.088498055,1.031538794,1.045723654
2.88045,1.043906178,1.0087709,1.068874908,1.088759954,1.031848876,1.046032283
2.8971,1.04411465,1.009040546,1.06914293,1.088994816,1.032127853,1.046306687
2.91375,1.044302037,1.009288468,1.069373822,1.089200433,1.032372351,1.046544022
2.9304,1.044466489,1.009511264,1.069566278,1.089375609,1.03258027,1.046742774
2.94705,1.044606981,1.009706485,1.069720242,1.089520107,1.032750752,1.046902697
2.9637,1.044723288,1.009872646,1.069836824,1.089634573,1.032884116,1.047024733
2.98035,1.044815934,1.010009212,1.069918185,1.089720455,1.032981776,1.047110899
2.997,1.044886127,1.01011655,1.069967406,1.089779921,1.033046132,1.047164163
3.01365,1.044935677,1.010195872,1.069988336,1.08981576,1.033080443,1.047188296
3.0303,1.044966905,1.01024914,1.06998543,1.089831276,1.033088683,1.047187708
3.04695,1.044982535,1.010278973,1.069963574,1.089830175,1.033075381,1.047167276
3.0636,1.044985586,1.01028852,1.0699279,1.089816436,1.033045445,1.047132159
3.08025,1.044979255,1.010281339,1.069883604,1.08979418,1.03300399,1.047087612
3.0969,1.044966805,1.010261257,1.069835768,1.089767529,1.032956145,1.047038805
3.11355,1.044951449,1.010232233,1.069789188,1.089740462,1.032906885,1.046990648
3.1302,1.044936242,1.010198223,1.069748223,1.089716682,1.032860858,1.046947632
3.14685,1.044923991,1.010163045,1.069716667,1.089699493,1.032822239,1.046913697
3.1635,1.044917164,1.010130264,1.069697647,1.089691689,1.032794603,1.046892121
3.18015,1.044917824,1.010103083,1.069693552,1.08969548,1.032780828,1.046885442
3.1968,1.044927583,1.010084254,1.069705993,1.089712429,1.032783029,1.046895412
3.21345,1.044947566,1.010076014,1.069735799,1.089743434,1.03280253,1.046922988
3.2301,1.044978403,1.010080037,1.06978304,1.089788734,1.032839864,1.04696835
3.24675,1.04502024,1.010097413,1.069847082,1.08984794,1.032894803,1.047030949
3.2634,1.04507276,1.010128642,1.069926661,1.089920102,1.032966428,1.047109586
3.28005,1.045135232,1.010173664,1.070019983,1.090003783,1.033053208,1.047202502
3.2967,1.045206561,1.010231889,1.070124826,1.09009716,1.033153104,1.047307488
3.31335,1.045285358,1.01030226,1.070238663,1.090198126,1.033263686,1.047422002
3.33,1.045370012,1.010383317,1.070358772,1.090304395,1.033382251,1.047543292
3.34665,1.045458761,1.010473279,1.070482356,1.090413606,1.033505948,1.047668506
3.3633,1.045549774,1.010570126,1.070606648,1.09052342,1.033631887,1.047794811
3.37995,1.045641217,1.010671687,1.070729006,1.090631603,1.033757255,1.047919486
3.3966,1.045731324,1.010775723,1.070846996,1.090736098,1.033879402,1.048040013
3.41325,1.045818451,1.010880012,1.070958464,1.090835082,1.033995928,1.048154149
3.4299,1.045901131,1.010982422,1.071061583,1.090927013,1.034104748,1.04825998
3.44655,1.045978109,1.011080977,1.071154895,1.091010655,1.034204135,1.048355963
3.4632,1.046048372,1.011173915,1.071237329,1.091085096,1.03429276,1.048440951
3.47985,1.046111167,1.011259732,1.07130821,1.091149756,1.034369704,1.048514201
3.4965,1.046166008,1.011337216,1.071367254,1.091204377,1.03443446,1.048575371
3.51315,1.046212677,1.011405467,1.071414546,1.091249011,1.034486927,1.048624502
3.5298,1.046251208,1.011463909,1.071450514,1.091283998,1.034527379,1.048661992
3.54645,1.046281872,1.011512286,1.071475892,1.091309935,1.034556438,1.048688555
3.5631,1.04630515,1.011550651,1.071491671,1.091327639,1.034575023,1.04870518
3.57975,1.046321701,1.011579342,1.071499052,1.091338111,1.034584306,1.048713076
3.5964,1.04633233,1.011598956,1.071499391,1.091342489,1.034585652,1.048713618
3.61305,1.046337948,1.011610308,1.071494142,1.091342001,1.034580565,1.048708292
3.6297,1.046339535,1.011614396,1.071484802,1.091337919,1.034570619,1.048698634
3.64635,1.046338103,1.011612351,1.07147286,1.091331515,1.034557408,1.048686175
3.663,1.046334656,1.01160539,1.071459742,1.091324012,1.034542485,1.048672391
3.67965,1.046330159,1.011594778,1.071446769,1.091316547,1.034527308,1.048658655
3.6963,1.046325504,1.011581772,1.071435119,1.091310135,1.034513201,1.048646195
3.71295,1.046321489,1.011567589,1.071425798,1.091305641,1.034501313,1.048636063
3.7296,1.046318795,1.011553362,1.071419612,1.091303757,1.034492586,1.048629112
3.74625,1.046317969,1.01154011,1.07141716,1.091304993,1.034487744,1.048625977
3.7629,1.046319417,1.011528714,1.071418824,1.091309665,1.034487275,1.048627071
3.77955,1.046323402,1.011519894,1.071424772,1.091317906,1.034491437,1.048632589
3.7962,1.046330043,1.011514196,1.071434971,1.091329669,1.03450026,1.048642512
3.81285,1.046339321,1.011511987,1.071449203,1.091344746,1.034513567,1.048656631
3.8295,1.046351094,1.011513457,1.071467086,1.091362789,1.034530996,1.048674563
3.84615,1.046365111,1.011518622,1.071488101,1.091383333,1.034552024,1.048695785
3.8628,1.046381028,1.011527341,1.071511621,1.091405825,1.034576004,1.048719657
3.87945,1.046398429,1.011539325,1.071536946,1.091429651,1.034602194,1.048745458
3.8961,1.046416846,1.011554166,1.071563328,1.091454165,1.034629793,1.048772422
3.91275,1.046435782,1.011571356,1.071590006,1.091478713,1.034657976,1.048799759
3.9294,1.04645473,1.01159031,1.071616232,1.091502663,1.034685926,1.048826698
3.94605,1.046473192,1.011610397,1.071641298,1.091525419,1.034712862,1.048852502
3.9627,1.046490698,1.011630963,1.071664558,1.091546447,1.034738063,1.048876499
3.97935,1.046506819,1.011651353,1.071685447,1.091565286,1.034760896,1.048898101
3.996,1.046521182,1.011670941,1.071703495,1.091581557,1.034780825,1.048916813
4.01265,1.046533476,1.011689143,1.071718337,1.091594976,1.03479743,1.048932253
4.0293,1.046543463,1.011705437,1.071729718,1.091605353,1.034810408,1.048944149
4.04595,1.046550978,1.011719379,1.071737494,1.091612594,1.034819581,1.048952347
4.0626,1.04655593,1.011730611,1.071741633,1.091616696,1.034824889,1.048956806
4.07925,1.046558303,1.011738869,1.071742202,1.091617743,1.034826389,1.048957591
4.0959,1.046558146,1.011743983,1.071739365,1.091615898,1.03482424,1.048954865
4.11255,1.046555573,1.011745881,1.071733367,1.091611387,1.034818696,1.04894888
